COMMONWEALTH OF MASSACHUSETTS  
LYNN DISTRICT COURT  
ESSEX COUNTY
____________________________________  
JESSICA CARTER,  
    Plaintiff,  

v.                                            Civil Action No. __________

LYNN APARTMENTS LLC,  
    Defendant.  
____________________________________/

**COMPLAINT FOR NEGLIGENCE**


### I. PARTIES

1.    Plaintiff, **Jessica Carter** (“Plaintiff”), is an individual residing on the third floor of a residential apartment building located at 123 Maple Street, Lynn, Essex County, Massachusetts.

2.    Defendant, **Lynn Apartments LLC** (“Defendant”), upon information and belief, is a Massachusetts limited liability company that owns, operates, manages, and controls the residential apartment building located at 123 Maple Street, Lynn, Massachusetts (the “Premises”).

3.    At all relevant times, Defendant, directly or through its agents, servants, employees, and/or contractors, was responsible for the operation, maintenance, inspection, and safety of the common areas of the Premises, including but not limited to the common hallways and the smoke detection system therein.


### II. JURISDICTION AND VENUE

4.    This action sounds in negligence under the common law of the Commonwealth of Massachusetts.

5.    This Court has subject-matter jurisdiction over this action pursuant to G.L. c. 218, § 19 and applicable provisions governing civil actions in the District Court Department, because the amount in controversy is within the jurisdictional limits of this Court.

6.    Venue is proper in the Lynn District Court pursuant to G.L. c. 223, §§ 1, 2 and 9, because the events and omissions giving rise to this action occurred in Lynn, Massachusetts, and the Premises are located in Lynn, Essex County.

7.    At all relevant times, Defendant regularly conducted business in Essex County, Massachusetts, including the ownership and management of the Premises in Lynn, such that personal jurisdiction and venue are proper in this Court.


### III. FACTUAL ALLEGATIONS

8.    Plaintiff repeats and realleges the allegations in Paragraphs 1–7 as if fully set forth herein.

9.    At all relevant times, Plaintiff leased and occupied a third-floor residential apartment unit at the Premises, located at 123 Maple Street, Lynn, Massachusetts.

10.  Defendant, as the landlord and property owner, had control over and responsibility for the maintenance and safety of all common areas of the Premises, including hallways, stairwells, and smoke detection systems installed pursuant to applicable law, regulations, codes, and ordinances.

11.  There was a smoke detector (or smoke alarm) located in the common hallway immediately outside Plaintiff’s third-floor apartment unit.

12.  For months prior to September 15, 2023, the hallway smoke detector directly outside Plaintiff’s unit repeatedly emitted a periodic “chirping” sound indicating, upon information and belief, a low or depleted battery.

13.  Eventually, and prior to September 15, 2023, someone—whose identity is unknown to Plaintiff—removed the battery from that hallway smoke detector in an apparent attempt to stop the chirping, and left the battery sitting on the nearby windowsill, thereby rendering the smoke detector inoperative.

14.  At all relevant times, Defendant knew or, in the exercise of reasonable care, should have known that an inoperable smoke detector in a common hallway of a multi‑unit residential building created a serious and foreseeable risk of harm to tenants, including the risk of delayed warning and increased injury in the event of a fire.

15.  In the weeks and months prior to September 15, 2023, Plaintiff personally notified Defendant, on at least three separate occasions, that the hallway smoke detector outside her unit was malfunctioning and/or missing a functioning battery, and that it was not working.

16.  On each such occasion, Defendant’s representative(s) acknowledged Plaintiff’s complaints and assured her that Defendant would “take care of it” or words to that effect.

17.  Despite these repeated notices and assurances, Defendant failed to repair, replace, or otherwise restore the hallway smoke detector to working order, and failed to ensure that it was equipped with a functioning battery.

