COMMONWEALTH OF MASSACHUSETTS  
CAMBRIDGE DIVISION  
DISTRICT COURT DEPARTMENT  

------------------------------------------------------  
KEVIN THOMPSON,  
    Plaintiff,  

v.                                                      Civil Action No. __________  

LYDIA GRANT,  
    Defendant.  
------------------------------------------------------  

COMPLAINT  
(Breach of Covenant of Quiet Enjoyment – G.L. c. 186, § 14)  

Plaintiff Kevin Thompson (“Plaintiff”), proceeding pro se, alleges as follows against Defendant Lydia Grant (“Defendant” or “Landlord”):


### I. PARTIES

1.  Plaintiff Kevin Thompson is an individual natural person who resides in and is a tenant of residential premises located at 123 Maple Street, Cambridge, Massachusetts 02139 (the “Premises”).

2.  Defendant Lydia Grant is, upon information and belief, an individual who owns, controls, manages, or otherwise exercises authority over the residential rental property in which the Premises are located, including the adjacent unit presently under renovation, in Cambridge, Massachusetts.

3.  At all relevant times, Defendant has been Plaintiff’s landlord within the meaning of Massachusetts General Laws (“G.L.”) chapter 186, including § 14, with respect to the Premises.


### II. JURISDICTION AND VENUE

4.  This action is brought under the laws of the Commonwealth of Massachusetts, including the common law and G.L. c. 186, § 14, for breach of the covenant of quiet enjoyment.

5.  Pursuant to G.L. c. 218, §§ 2 and 19, the Cambridge Division of the District Court Department has subject-matter jurisdiction over this civil action because the amount in controversy is within the court’s jurisdictional limit and the cause of action arises under Massachusetts law.

6.  Venue is proper in the Cambridge District Court because the rental property that is the subject of this dispute is located in Cambridge, Middlesex County, Massachusetts. See G.L. c. 223, § 2; G.L. c. 218, § 19.


### III. FACTUAL ALLEGATIONS

7.  Plaintiff realleges and incorporates by reference the preceding paragraphs as if fully set forth herein.

8.  On or about January 15, 2022, Plaintiff entered into a residential tenancy with Defendant for the Premises located at 123 Maple Street, Cambridge, MA 02139.

9.  Plaintiff has continuously resided in and lawfully occupied the Premises since on or about January 15, 2022, and has at all times materially complied with the obligations of his tenancy, including timely payment of rent and observance of reasonable rules.

10.  Plaintiff’s monthly rent for the Premises is $2,500.00, payable to Defendant.

11.  As a matter of Massachusetts law, every residential lease or tenancy includes an implied covenant of quiet enjoyment. See, e.g., G.L. c. 186, § 14; Blackett v. Olanoff, 371 Mass. 714 (1977); Doe v. New Bedford Hous. Auth., 417 Mass. 273 (1994).

12.  On or about early October 2025, Defendant commenced, or caused to be commenced, substantial renovation and construction work in the residential unit directly adjacent to Plaintiff’s unit at 123 Maple Street.

13.  Defendant informed Plaintiff before the renovation began that construction would be occurring in the neighboring unit. However, Defendant did not provide a detailed schedule, did not offer temporary alternative accommodations, and did not propose meaningful mitigation of the impact on Plaintiff’s use and enjoyment of his home.

14.  From approximately early October 2025 through at least December 1, 2025 (the date of this Complaint), there has been ongoing, frequent, and persistent construction-related noise emanating from the neighboring unit, including but not limited to drilling, hammering, pounding, mechanical tool use, and workers’ loud conversation (collectively, the “Construction Disturbance”).

15.  The Construction Disturbance typically begins at or about 8:00 a.m. and continues until approximately 5:00 p.m., Monday through Friday, and has done so on most weekdays for roughly two months.

16.  Plaintiff works from home and must conduct phone and video calls, concentrate on complex tasks, and maintain a reasonably quiet environment for his employment.

17.  The volume, frequency, and duration of the Construction Disturbance has made it extremely difficult, and at times practically impossible, for Plaintiff to effectively perform his work duties from the Premises.

18.  The continuous drilling, hammering, and loud conversation regularly intrude into Plaintiff’s living space, are plainly audible and disruptive in every main room of the Premises, and cause Plaintiff significant stress, loss of concentration, and loss of productive work time.

19.  In addition to noise, dust and construction debris from the adjacent renovation have traveled into the Premises through vents and other openings, causing visible dust accumulation inside Plaintiff’s unit, affecting the cleanliness and air quality in the Premises, and further diminishing Plaintiff’s comfort and use of his home.

20.  Plaintiff has notified Defendant about the severity of the Construction Disturbance and the dust infiltration, including that the impact on Plaintiff’s ability to work from home and to enjoy reasonable quiet use of the Premises has been substantial.

21.  Defendant has acknowledged the ongoing renovation and, in response to Plaintiff’s complaints, offered only a token rent reduction of approximately $100.00 off one month’s rent, notwithstanding the ongoing and serious interference spanning multiple months.

22.  Defendant has allowed the renovation work to continue with essentially the same level of noise and disruption, and, upon information and belief, the work is anticipated to continue for an additional month or two beyond the date of this Complaint.

23.  Defendant has not offered to:  
    a.  relocate Plaintiff temporarily to another unit or comparable quiet space;  
    b.  schedule especially noisy work at more limited times to reduce interference with Plaintiff’s work from home;  
    c.  install meaningful soundproofing or barriers;  
    d.  adequately seal vents or other pathways through which dust enters the Premises; or  
    e.  provide a rent abatement proportionate to the loss of use and enjoyment.

24.  The persistent Construction Disturbance and dust have substantially and unreasonably interfered with Plaintiff’s use and enjoyment of the Premises as a residence and as his place of work.

25.  The interference has not been a mere inconvenience or trivial annoyance, but rather has been significant and continuing, effectively depriving Plaintiff of the ability to peacefully and reasonably enjoy his home during normal daytime hours for at least two months and likely longer.

26.  Defendant, as owner and landlord, has the power and control to direct, limit, or modify the manner and timing of the renovation work, to impose conditions on the contractors, and to take reasonable steps to minimize or abate the disturbance to Plaintiff, but has failed to exercise that control in a way that protects Plaintiff’s quiet enjoyment.

27.  Defendant has thereby permitted and caused conditions on the property—namely the intense, prolonged construction noise and dust infiltration—that materially impair Plaintiff’s tenancy.

28.  Plaintiff has suffered and continues to suffer loss of quiet enjoyment, inconvenience, loss of use of his living space during significant portions of the day, stress, reduced ability to work productively from home, and other consequential harms.

29.  As a proximate result of Defendant’s conduct and omissions, Plaintiff has suffered damages, including but not limited to: (a) loss of the full value of the rental premises for at least two months (and expected continuing interference), (b) diminished habitability and comfort, (c) interference with Plaintiff’s ability to use the Premises for work and rest, and (d) emotional and mental distress associated with the ongoing disruption.

30.  Plaintiff reasonably estimates his actual damages arising from this loss of quiet enjoyment to be at least $1,500.00, and reserves the right to amend this Complaint to increase the demand as additional damages accrue or further information becomes available.


### IV. CAUSE OF ACTION  
**Breach of Covenant of Quiet Enjoyment  
(G.L. c. 186, § 14 and Massachusetts Common Law)**

31.  Plaintiff realleges and incorporates by reference all preceding paragraphs as though fully set forth herein.

32.  Under G.L. c. 186, § 14, a landlord who, by any act or omission, “directly or indirectly interferes with the quiet enjoyment of any residential premises by the occupant” is liable to the aggrieved tenant for actual and statutory damages, including, in appropriate cases, multiple damages and reasonable attorney’s fees.

33.  Massachusetts law implies a covenant of quiet enjoyment in every lease of residential premises. See, e.g.:  
   a.  Blackett v. Olanoff, 371 Mass. 714 (1977);  
   b.  Doe v. New Bedford Hous. Auth., 417 Mass. 273 (1994);  
   c.  Simon v. Solomon, 385 Mass. 91 (1982);  
   d.  Al-Ziab v. Mourgis, 424 Mass. 847 (1997);  
   e.  Jablonski v. Casey, 64 Mass. App. Ct. 744 (2005).

